Description,TotalSalesDollars,ProfitMargin
Bridlewood Pnt Nr,9520.47,33.8728025
Bridlewood Slct Pnt Nr Lucia,5436.6,77.9494537
Briggs Lockhart Cab Svgn,1091.16,31.48575828
Briggs Lockhart Chard,324.75,36.44341801
Brinley Gold Shipwrck Coffee,149.94,27.01080432
Brinley Gold Shipwreck,119.94,23.66183092
Brinley Gold Shipwrk Coconut,449.82,23.64945978
Brittan Vyds Chard Wlmete Vy,3912.09,82.92089395
Broadbent Auction RSV,5742.33,55.92207344
Broadbent Madeira Rainwater,8072.89,28.03172098
Broadside Cab Svgn Paso Rob,326.94,56.98293265
Brooks Runaway Red,263.88,34.19736244
Brotherhood Holiday Spiced,1425.39,23.64405531
Brotte La Griveliere CDR,9872.88,39.99400378
Brousko Dry Red,131.88,33.75796178
Brownstone Cab Svgn Cal,1357.49,24.26021554
Brownstone Merlot Cal,467.48,21.45118508
Brownstone Pnt Nr,359.6,1.390433815
Brugal XV Rum,9971.01,84.65320965
Bruichladdich Octomore 61,7589.31,92.19599674
Bruichladdich Rocks Sngl Mlt,899.82,76.02187104
Bruichladdich Wee Laddie Box,1199.8,26.47107851
Bruno Giacosa Roero Arneisxc,149.88,35.4683747
Buehler Estate Cab Svgn Napa,4271.69,92.70663367
Buehler Wh Znfdl Napa,2037.96,26.59325993
Buena Vista Ch Napa Vly Cab,2924.35,15.52173987
Buenas Tempranillo,252.77,33.75796178
Buglioni L'Amarone,4289.22,28.30164925
Buil & Gine Montsant 17X1,2077.29,80.91551974
Bully Boy White Rum,335.88,20.65023223
Bully Hill Goat Wh Semi-Dry,9643.8,36.4920467
Bully Hill NY Rsl,155.88,32.4095458
Bunraku Nihonjin No Wasuremo,1230.01,14.96004098
Buoncristiani Family Chard,1835.49,67.10851053
Buoncristiani Family Red OPC,1139.77,66.04578117
Buried Cane Cab Svgn,6978.23,39.28431708
Buried Cane Chard,4859.17,51.17087898
Bushmills 16 Yr Old Irish W,2045.69,18.14497798
Bushmills 21 Year Old Irish,3119.7,16.07045549
Butterfly Kiss Chard,1076.4,35.45150502
Butterfly Kiss Pnt Grigio,107.64,32.77591973
Byron Pnt Nr Nielson Vyd SMV,575.82,31.97874336
Byrrh Apertif,689.56,52.01287778
C K Mondavi Svgn Bl Cal,71.94,38.44870726
C K Mondavi Wh Znfdl,153.8,38.04941482
C Krug Chard,902.54,16.96766902
C Krug RSV Generations Napa,513.9,16.26386457
C Krug Svgn Bl Napa,9075.53,33.36455281
C Monaci Kreos Rosato,395.78,66.20344636
C Y Toro Carmenere Terrunyo,175.92,91.7746703
C Y Toro Casa Diablo Chard,7148.72,48.54435479
C Y Toro Diablo Red,11.99,33.77814846
C Y Toro Don Melchr Cab Svgn,8250.97,4.976263397
C Y Toro Frontera Carmenere,9385.73,37.76935838
C Y Toro Frontera Pnt Grigio,9999.47,39.60259894
C Y Toro Frontera Shiraz,6523.13,34.51364606
C&P Breton Chinon St Louand,1024.59,3.727344596
C'est La Vie Syrah-Grenache,27.98,32.45175125
CC Ranch Cab Svgn CC Ranch,1994.81,29.35668059
Ca'Momi Bianco di Napa,3763.66,63.99249667
Ca'Momi Chard Rsv Napa,4408.53,17.65236938
Ca'Momi Pinot Noir Napa Vall,9584.62,48.77418197
Cabreo Il Borgo Toscana,764.83,77.08510388
Cabreo La Pietra White,1253.58,87.98959779
Cabrito Blanco,1043.42,48.89881352
Cadaretta Svgn Bl Semillon C,275.88,31.97042192
Cade Svgn Bl Napa Cuvee,1469.54,2.696081767
Caffo Amaretto Liqueur,9515.08,75.34681789
Caffo Grappa Italiana,373.83,26.96412808
Caffo Vecchio Amaro del Capo,4815.81,82.41043563
Cakebread Benchland Cab Svgn,7599.24,71.15922119
Cakebread Chard Rsv,2969.46,14.06720414
Cakebread Clrs Cab Svgn 11,779.94,44.80985717
Cakebread Dancing Bear Cab S,3909.66,71.16373291
